Название,Группа товара,Цена,Наличие
HLW ,"Элеватор Seldin, левый",1 900 ₽,Под заказ
NSK Nakanishi SGO2  ,"микропила для осциллирующих движений, толщина лезвия 0,3 мм",2 660 ₽,на складе
NSK Nakanishi SG15A  ,хирургическая насадка для имплантации,9 160 ₽,на складе
HLW ,"Пинцет Адсона изогнутый, 12 см",1 600 ₽,Под заказ
Durr Dental ,"Салфетки для протирания рентгенографических пластин VistaScan, 10 шт.",870 ₽,на складе
Nopa Instruments ,"Пинцет перевязочный с фиксатором LONDON COLLEGE №3, 15 см",1 300 ₽,Под заказ
Rolence Elitedent PS30 LED  ,стационарный пьезоэлектрический скалер с фиброоптикой,Свяжитесь с нами насчёт цены,на складе
HLW ,"Скейлер пародонтологический Jaquette, форма 30/33, диаметр 8 мм",2 100 ₽,Под заказ
Arkodor ARXC24A  ,"шкаф с двумя распашными металлическими дверьми, с замком, сейфом, ...",26 780 ₽,на складе
Kuraray Noritake CZR Press HINGOT kit  ,набор заготовок высокой прозрачности для пре...,164 000 ₽,на складе
Asa Dental ,"Элеватор прямой, 3,7 мм",2 250 ₽,на складе
Arkodor AR55C  ,"металлическая тумба навесная с распашной металлической дверью, двумя...",16 570 ₽,на складе
M.P.F. Brush Opaque  ,насадка для кистей Optimum (2 шт.),Свяжитесь с нами насчёт цены,на складе
W&H 4U  ,насадка для удаления зубного камня на больших участках к скалеру Pyon,1 970 ₽,на складе
HLW ,"Элеватор Hakenheber, когтеобразный",1 900 ₽,Под заказ
Arkodor ARL22N  ,стол лабораторный со стеллажом трехтумбовый (две тумбы с распашными...,79 050 ₽,на складе
,Аверон АСОЗ 1.2 АРТ - пескоструйный аппарат для зуботехнических лабораторий,74 900 ₽,на складе
,"Армед 8F-1/3 - концентратор кислорода, 1 л/мин",16 680 ₽,на складе
Steelco ,С04 - вставка с восемью ячейками (шаг - 40 мм),5 340 ₽,на складе
HLW ,"Лоток для хранения и стерилизации инструментов, 80 мм",1 100 ₽,Под заказ
Arkodor AR44  ,"передвижная тумба с четырьмя выдвижными ящиками, сверху стекло, сбоку...",47 600 ₽,на складе
Arkodor AR15  ,металлическая тумба с пятью выдвижными ящиками,26 770 ₽,на складе
HLW ,"Щипцы для удаления зубов верхние корневые, 12-51K*",4 600 ₽,Под заказ
HLW ,"Штопфер двусторонний, шарик-шарик, 1,3-1,6 мм, нитрид титановое покрытие",2 500 ₽,Под заказ
IEK ,Светильник накладной IEK 3016 G13 с лампой ультрафиолетовой бактерицидной OSRAM 15W,4 200 ₽,на складе
,"Армед 2-130 П - облучатель-рециркулятор медицинский, пластиковый корпус, 2 лампы 30 В...",5 490 ₽,в наличии
BienAir ,Ключ для винтового зажима Bien-Air,1 730 ₽,на складе
HLW ,Зонд односторонний Спредер ISO 50,1 300 ₽,Под заказ
W&H Alegra TE97 C BC  ,турбинный наконечник с миниголовкой (для 2/3-канального соеди...,Свяжитесь с нами насчёт цены,на складе
Arkodor AR92  ,"шкаф с распашной застекленной дверью, двумя стеклянными полками, четы...",44 620 ₽,на складе
NSK Nakanishi SGT2  ,"микропилы для сагиттальных движений, толщина лезвия 0,35 мм, ши...",16 260 ₽,на складе
LM PE38L  ,"насадка для скалеров LM, для скалинга, периодонтическая",6 910 ₽,на складе
Mr.Currete Tech TPL7  ,"трепан удлиненный, диаметр 7,0/6,4 мм",Свяжитесь с нами насчёт цены,на складе
BienAir ,Комплект Optima MXINT с комплектом DMX Basic (полный комплект для 1 микромот...,106 190 ₽,на складе
Steelco C707  ,нижняя корзина со встроенными подставками под 10 наконечников и шестью...,42 930 ₽,на складе
Kuraray Noritake CZR Press LF Basic kit  ,набор низкотемпературной керамики 190 г,19 520 ₽,на складе
Kuraray Noritake CZR PROFESSIONAL KIT  ,набор дополнительных оттенков,19 560 ₽,на складе
Asa Dental ,Штопфер N1 двусторонний с нитрит-титановым покрытием (золотым) (шарик),2 480 ₽,на складе
Asa Dental ,Щипцы N20 для удаления зубов для левых третьих моляров с зубчиками,2 240 ₽,на складе
Durr Dental ,Набор для подключения аспирационного устройства V 250,7 010 ₽,на складе
W&H Alegra HE43 T  ,"прямой наконечник, 1:1",6 710 ₽,на складе
SybronEndo Satellite  ,сателлитный дисплей с кабелем для Elements,Свяжитесь с нами насчёт цены,на складе
Chirana TGL 637 A (Ti)  ,"турбинный наконечник со светом, трехточечным спреем и керами...",Свяжитесь с нами насчёт цены,на складе
Arkodor AR95  ,"шкаф с двумя распашными застекленными дверями, четырьмя стеклянными п...",39 100 ₽,на складе
Asa Dental ,Щипцы N52 для верхних корней и клыков,4 520 ₽,на складе
Asa Dental ,"Ножницы для десны прямые, 12,5 см",2 460 ₽,на складе
W&H SYNEA TA98  ,"наконечник турбинный без переходника, с мидиголовкой и тройным спреем",Свяжитесь с нами насчёт цены,на складе
Nopa Instruments ,Щипцы извлекающие для третьих моляров верхней челюсти №67A,5 400 ₽,Под заказ
Asa Dental ,"Ложка слепочная верхняя средняя (M) с перфораций без бортика, детская, из ...",460 ₽,на складе
Asa Dental ,Элеватор N3 изогнутый к себе,2 710 ₽,на складе
Dentsply Maillefer PROFILE  ,Профайлы 25мм 4/30 (уп 6шт) Dentsply,2 910 ₽,на складе
Mr.Currete Tech BCM20105  ,ключ к разборному трепану,Свяжитесь с нами насчёт цены,на складе
HLW ,Скейлер пародонтологический 26-8,800 ₽,Под заказ
HLW ,Щипцы для удаления верхнего и нижнего корневого фрагмента,4 400 ₽,Под заказ
Mr.Currete Tech FRT6.2/6.9  ,трепан для удаления имплантатов,Свяжитесь с нами насчёт цены,на складе
HLW ,"Элеватор Cryer, правый 13-32",1 900 ₽,Под заказ
NSK Nakanishi PanaMax2 B2  ,"турбинный наконечник с керамическими подшипниками, кнопо...",Свяжитесь с нами насчёт цены,на складе
Nopa Instruments ,"Ножницы LA GRANGE с S-образным изгибом, 11,5 см",8 990 ₽,Под заказ
Eve ,Набор полиров PROPHY RA 420 (8 полиров),1 800 ₽,Под заказ
Mr.Currete Tech SPC04  ,"долото прямое, ширина 6 мм",Свяжитесь с нами насчёт цены,на складе
,Аверон ИГЛА 1.0 - вставка для съемного электрода,150 ₽,на складе
Hahnenkratt Mouth Mirror Handle  ,"ручка для зеркал, полированная, полая",1 480 ₽,в наличии
,Сонис Круг абразивный шлифовальный (50х7х10 мм) тонкий белый,150 ₽,на складе
Wanhao Boxman1  ,ультрафиолетовая камера для отверждения моделей,48 900 ₽,Под заказ
Asa Dental ,Ложка слепочная верхняя большая (L) половина с перфорацией без бортиков(ле...,450 ₽,на складе
Gravitonus ,Рингбаза для стульев Gravitonus,2 400 ₽,на складе
,"Ферропласт СФ20 - Стерилизатор ""Ферропласт"", 20 л",36 180 ₽,на складе
Arkodor AR33.3  ,"передвижной столик с тремя выдвижными ящиками, сверху стекло (на во...",30 170 ₽,на складе
,"Экрадент 02-20 - штопфер обратноконусный - шарообразный средний 2,0/2,0",2 250 ₽,на складе
W&H SYNEA TA96 L  ,"наконечник турбинный с оптикой, с миниголовкой, с одиночным спрее...",Свяжитесь с нами насчёт цены,на складе
HLW ,Щипцы для удаления зубов детские нижние корневые,4 600 ₽,Под заказ
Asa Dental ,Щипцы N8 для удаления зубов для нижних премоляров с зубчиками,4 520 ₽,на складе
Asa Dental ,Элеватор для корней с ручкой из нержавеющей стали 4R,2 250 ₽,на складе
Densim DX Blue  ,"бесщеточный микромотор, с оптикой",35 570 ₽,на складе
Mr.Currete Tech SPC02  ,"долото прямое, ширина 4 мм",Свяжитесь с нами насчёт цены,на складе
Appledental COLORTU  ,цветной турбинный наконечник для 4-х канального соединения,Свяжитесь с нами насчёт цены,на складе
DeguDent Duceram Plus  ,"хромдентины, 20 гр",Свяжитесь с нами насчёт цены,Под заказ
HLW ,"Кюрета Langer, форма 1/2, ручка диаметр 8 мм",1 990 ₽,Под заказ
Asa Dental ,Элеватор прямой 0208-3SX,1 450 ₽,на складе
Kulzer Heraenium EH  ,"дентальный сплав для бюгелей (Co, Cr, Mo) 1 кг",Свяжитесь с нами насчёт цены,на складе
Arkodor ARL33  ,"стол лабораторный (тумба с шестью выдвижными ящиками), на столешнице...",32 300 ₽,на складе
LM SP35  ,"насадка для скалеров LM, для удаления коронок",6 950 ₽,на складе
Arkodor AR07  ,металлическая тумба с одиннадцатью выдвижными ящиками,37 820 ₽,на складе
,"Экрадент 07-14 - штопфер амальгамный - гладилка яйцевидная малая 1,8/3,0",2 370 ₽,на складе
HLW ,"Элеватор Seldin, изогнутый левый",1 900 ₽,Под заказ
Asa Dental ,Элеватор прямой 0208-2S,1 700 ₽,на складе
MIS MK0024  ,набор остеотомов,50 360 ₽,на складе
KaVo ,Бачок для регистрата для всех артикуляторов PROTAR evo,9 280 ₽,на складе
China Daheng Group ,Автоклавируемая насадка для стоматологического лазера DenLase,Свяжитесь с нами насчёт цены,на складе
HLW ,"Экскаватор круглый, 1,5 мм, 28-11*",700 ₽,Под заказ
Durr Dental DURR CONNECT 32 SPECIAL  ,набор соединительных деталей,34 180 ₽,на складе
Asa Dental ,Штопфер N1 двусторонний,1 130 ₽,на складе
NSK Nakanishi EX EVAER4  ,"угловой наконечник с наружной системой подачи охлаждения, 4:1",Свяжитесь с нами насчёт цены,на складе
HLW ,"Элеватор Winter правый, 13-14R*",2 200 ₽,Под заказ
Klever ,Перчатки нитриловые медицинские диагностические неопудренные KLEVER «Стандарт»...,2 160 ₽,в наличии
SybronEndo Lip Hook  ,загубник для прибора Elements (5 шт.),Свяжитесь с нами насчёт цены,на складе
LM PE40HS  ,"насадка для скалеров LM, для скалинга",9 020 ₽,на складе
Asa Dental ,"Ложка слепочная, набор 6 штук, без перфорации без бортиков",4 720 ₽,на складе
Asa Dental ,Щипцы N18 для удаления зубов для верхних левых моляров с зубчиками с анато...,3 100 ₽,на складе
NSK Nakanishi Multi Stand for Phatelus  ,мульти-штатив для Phatelus (3 адаптера A / 2...,Свяжитесь с нами насчёт цены,на складе
KaVo ,Упругие затяжки для артикуляторов PROTAR 2 (10 шт.),20 ₽,на складе
Arkodor AR59  ,"металлическая тумба навесная с распашной застекленной дверью, двумя с...",14 450 ₽,на складе
HLW ,Инструмент для амальгамы Placement,700 ₽,Под заказ
Asa Dental ,"Щипцы N151 для верхних корней с зубчиками, 0130-151",4 720 ₽,на складе
Arkodor AR55  ,"металлическая тумба навесная с распашной металлической дверью, двумя ...",11 470 ₽,на складе
KaVo GXC300  ,интраоральная камера,Свяжитесь с нами насчёт цены,на складе
Asa Dental ,"Ножницы для десны изогнутые, зубчики на одном лезвии, 13 см",2 580 ₽,на складе
Arkodor ARLN  ,стеллаж настольный,8 070 ₽,на складе
Romax TM1  ,"стоматологический матрас, 145 м2",6 900 ₽,на складе
Geosoft ,Корзина для инструментов к UltraEst M,6 990 ₽,на складе
JustVision by Semorr ,"Мультифокусный объектив к микроскопу, f=180-460",123 180 ₽,на складе
NSK Nakanishi SG9  ,насадка для работ с мембраной,8 570 ₽,на складе
M.P.F. Brush Rainbow Cutters  ,"полировочный диск с алмазной крошкой, средняя полировк...",Свяжитесь с нами насчёт цены,на складе
LM ,Универсальная насадка для LM-ProPower AirLED,15 150 ₽,на складе
NSK Nakanishi SG16A  ,хирургическая насадка для имплантации,9 160 ₽,на складе
Asa Dental ,"Элеватор N4 изогнутый к себе заостренный, 3,6 мм",2 370 ₽,на складе
W&H SYNEA TA98 LM  ,"наконечник турбинный с оптикой, с пятиточечным спреем, с мидигол...",Свяжитесь с нами насчёт цены,на складе
Dentsply Maillefer EndoActivator Tips  ,"насадки для эндоактиватора, 25 шт. (Small - 1...",Свяжитесь с нами насчёт цены,Под заказ
Nopa Instruments ,"Ножницы для рассечения REYNOLDS, изогнутые, 18 см",10 400 ₽,Под заказ
Kuraray Noritake CZR Press LF Luster CCV kit  ,набор специальных эффектов 160 г,19 240 ₽,на складе
Steelco C90/C91  ,вставка с двумя ячейками для кассет с инструментами (шаг - 50 мм),Свяжитесь с нами насчёт цены,на складе
HLW ,"Щипцы для удаления зубов верхние премоляры, 12-35A*",4 990 ₽,Под заказ
W&H SYNEA TA97 M  ,турбинный наконечник с миниголовкой,Свяжитесь с нами насчёт цены,на складе
NSK Nakanishi VU25  V,файл для ирригации 23 мм ISO25 (6шт.),5 630 ₽,на складе
Asa Dental ,Щипцы N17 для удаления для нижних моляров,5 250 ₽,на складе
Asa Dental ,"Ложка слепочная верхняя очень большая (XL) с перфорацией с бортиками, с цв...",420 ₽,на складе
Formlabs White Resin  1 ,л бут/картридж,21 900 ₽,на складе
ReDent Nova EndoStationmini  ,набор ирригационных трубок,2 000 ₽,на складе
Omec FOX.88/1  ,"стакан вакуумного смесителя, 1000 мл, без лопасти",4 210 ₽,на складе
KaVo ,Вставки с резьбой (20 шт.) для всех артикуляторов PROTAR evo,5 890 ₽,на складе
DeguDent ,Универсальная плавильная мульда,Свяжитесь с нами насчёт цены,на складе
Lambda ,Оптическое волокно для диодного лазера Doctor Smile D5 400 мкм,33 470 ₽,на складе
Mr.Currete Tech OBCCO1  ,"долото изогнутое Ochsenbein, верхняя заточка",Свяжитесь с нами насчёт цены,на складе
HLW ,"Скейлер пародонтологический, форма Cl 2/3, ручка диаметр 8 мм",2 100 ₽,Под заказ
Ugin ,"Опоковое кольцо силиконовое 1X внешний d=47 мм, внутренний d=30 мм",2 380 ₽,на складе
Song Young PROWAXER  ,ручной электрошпатель с 2-мя независимыми рукоятками и 8-ю нас...,Свяжитесь с нами насчёт цены,на складе
HLW ,"Иглодержатель хирургический Hoesl TC, 21 см",8 990 ₽,Под заказ
NSK Nakanishi SG18L  ,хирургическая насадка для удаления зубов,9 760 ₽,на складе
Durr Dental ,Блок управления V/VS 250 S,11 500 ₽,на складе
BienAir ,Переходник для турбин Eolia B (2/3-канальный),3 940 ₽,на складе
NSK Nakanishi SG15C  ,хирургическая насадка для имплантации,8 870 ₽,на складе
HLW ,"Пинцет стоматологический изогнутый Pin, для пинов, 150 мм",1 100 ₽,Под заказ
Durr Dental ,Набор фильтров тонкой очистки воздуха для компрессоров Tornado,7 330 ₽,на складе
,Аверон ПИНЦЕТ 1.0 ЛОНГ - пинцет для вынимания трегера из электровакуумной печи,1 300 ₽,на складе
Woodpecker LED.H Ortho  ,"беспроводная светодиодная полимеризационная лампа, 1000 - 18...",8 580 ₽,на складе
Asa Dental ,"Щипцы N151 для удаления для нижних резцов, премоляров, корней",5 250 ₽,на складе
Bambach ,"специальная регулировка высоты на подставке для ног, размер M",Свяжитесь с нами насчёт цены,на складе
Mr.Currete Tech TPL4  ,"трепан удлиненный, диаметр 4,0/3,4 мм",Свяжитесь с нами насчёт цены,на складе
Asa Dental ,Штопфер N2 двусторонний (шарик),700 ₽,на складе
DeguDent ,Мерный дозатор для керамики,Свяжитесь с нами насчёт цены,на складе
BioHorizons MemLok BG 30,х40 - коллагеновая мембрана,14 040 ₽,на складе
Arkodor AR20  ,"металлическая тумба с двумя выдвижными ящиками, с распашной металличе...",22 520 ₽,на складе
Arkodor ARL42  ,стол лабораторный (тумба с четырьмя выдвижными ящиками и выдвигающим...,34 850 ₽,на складе
Appollo BIII  ,стоматологическая установка с нижней подачей инструментов,243 900 ₽,на складе
HLW ,"Микропинцет хирургический прямой Gomel, 180 мм",4 320 ₽,на складе
DeguDent Duceram Plus  ,набор для профессионалов,Свяжитесь с нами насчёт цены,Под заказ
Ugin ,"Опоковое кольцо силиконовое 6X внешний d=83 мм, внутренний d=67 мм",2 680 ₽,на складе
Nopa Instruments ,"Ножницы операционные MAYO, тупоконечные, изогнутые, 17 см",1 990 ₽,Под заказ
Medenta Instruments ,"Завеса резиновая ""Раббер дам"" Медента голубая/тонкая",750 ₽,в наличии
,Аверон ДОЗАТОР 1.0 КЕРАМИКА - инструмент для точного дозирования пропорций керамическ...,1 200 ₽,на складе
W&H Alegra TE97 LED G NQ  ,турбинный наконечник со светом с миниголовкой (для перехо...,Свяжитесь с нами насчёт цены,на складе
Nopa Instruments ,"Ножницы операционные GRAZIL, прямые, 14,5 см",2 100 ₽,Под заказ
NSK Nakanishi SG2R  ,насадка для ультразвуковой костной хирургии,10 720 ₽,на складе
Arkodor AR88  ,"шкаф с двумя распашными застекленными дверями, двумя металлическими д...",80 750 ₽,на складе
M.P.F. Brush Flat  ,"насадка для инструмента Optimum, плоское лезвие (2 шт.)",Свяжитесь с нами насчёт цены,на складе
,Сонис Фартук для врачей и техников (750х1100 мм) с нарукавниками,370 ₽,на складе
Kuraray Noritake CZR Press LINGOT kit  ,набор заготовок низкой прозрачности для прес...,164 000 ₽,на складе
Arkodor AR10  ,"металлическая тумба с ящиком, распашной металлической шторкой для мус...",21 250 ₽,на складе
Bambach ,запасное колесо стандартное (5 шт.),Свяжитесь с нами насчёт цены,на складе
Mr.Currete Tech BCM20109  ,"ограничитель разборного трепана, диаметр 5 мм",Свяжитесь с нами насчёт цены,на складе
HLW ,Щипцы для удаления зубов верхние резцы/клыки,4 900 ₽,Под заказ
VHF Z4  ,стоматологическая фрезерная машина,Свяжитесь с нами насчёт цены,Под заказ
KaVo ,Ящик для транспортировки / ванночки для работы LOGIcase (10 шт.) для всех артику...,Свяжитесь с нами насчёт цены,на складе
Steelco C704  ,нижняя корзина с моечным коромыслом и встроенными подставками под 16 н...,3 042 150 ₽,на складе
Asa Dental ,Штопфер N3 двусторонний (капля),710 ₽,на складе
,"Армед СПР-1 - стойка для 1-лампового рециркулятора, белая",1 980 ₽,в наличии
TrollDental Trollmount TR12  ,"кармашки для хранения рентген-снимков, 100 шт",Свяжитесь с нами насчёт цены,на складе
HLW ,"Штопфер двусторонний, штопфер-штопфер, 1,0 мм",700 ₽,Под заказ
HLW ,"Щипцы для удаления зубов нижние премоляры, 12-336*",4 990 ₽,Под заказ
DeguDent Little Heart  ,инструмент для керамики,Свяжитесь с нами насчёт цены,на складе
DeguDent Dragon  ,инструмент для керамики,Свяжитесь с нами насчёт цены,на складе
NSK Nakanishi TiMax S950L  ,"пневматический скалер с оптикой, 3 уровня мощности",Свяжитесь с нами насчёт цены,на складе
Nopa Instruments ,Щипцы извлекающие корневые для верхней челюсти №30,5 400 ₽,Под заказ
,"Армед 7F-3L - концентратор кислорода с выходом для ингаляций, 3 л/мин",49 690 ₽,на складе
DeguDent ,Муфельное дно 6,Свяжитесь с нами насчёт цены,на складе
SAM MPS 155  ,"монтажные пластины MPS, желтые, 1 шт.",230 ₽,на складе
Asa Dental ,Щипцы N23 для удаления для нижних моляров,3 650 ₽,на складе
Saeyang FS60  ,"педаль плавного регулирования скорости вращения микромоторов N2, N7, K35",1 760 ₽,на складе
Arkodor ARX26  ,"металлическая тумба с двумя распашными металлическими дверями, право...",22 950 ₽,на складе
Anthogyr ,"Шприц карпульный, хромированный, без аспирации, прямая рукоятка",4 400 ₽,Под заказ
Durr Dental ,"Пластины для VistaScan mini, размер 1, формат 2х4 (2 шт.)",12 140 ₽,на складе
BienAir ,Роторная группа к турбинному наконечнику Prestige,Свяжитесь с нами насчёт цены,на складе
,Аверон РВК 3.0 - разветвитель воздушных каналов,2 700 ₽,на складе
Song Young ,"Подставка керамическая для обжига керамики, №1 - для фронтальных зубов, 8шт",Свяжитесь с нами насчёт цены,на складе
Asa Dental ,Щипцы N4 для удаления зубов для нижних резцов и клыков с зубчиками,4 520 ₽,на складе
HLW ,Элеватор малый Winter правый,2 200 ₽,Под заказ
Arkodor AR50C  ,металлическая тумба навесная с двумя распашными металлическими дверя...,26 350 ₽,на складе
Asa Dental ,Ложка слепочная нижняя (L) без перфорации без бортиков,450 ₽,на складе
DeguDent Duceram Plus  ,набор Эдвантаж,Свяжитесь с нами насчёт цены,Под заказ
HuFriedy Scalpel Handle Graduated  ,ручка для лезвия,1 250 ₽,на складе
HLW ,"Элеватор Syndesmotone, 13-35B*",1 900 ₽,Под заказ
Arkodor ARL44  ,стол лабораторный (тумба с четырьмя выдвижными ящиками и выдвигающим...,34 850 ₽,на складе
Renfert Picosilk  ,"средство для снятия поверхностного напряжения восковых моделей, фл...",2 100 ₽,Под заказ
,"ВЗМО БМВ-01С - банкетка со спинкой, цвет синий",6 740 ₽,на складе
HLW ,"Кюрета пародонтологическая Gracey, форма 9/10, ручка CLASSIC, диаметр 10 мм",2 300 ₽,Под заказ
DeguDent Duceram Plus  ,набор опаковых масс,Свяжитесь с нами насчёт цены,Под заказ
DeguDent Duceram Plus  ,набор опаковых масс,Свяжитесь с нами насчёт цены,Под заказ
Zumax ,Вариообъектив 190-300 мм к OMS 2350 - дентальному эндодонтическому бинокулярном...,88 690 ₽,на складе
HLW ,"Элеватор Krallenheber, левый",2 990 ₽,Под заказ
,Аверон ОПОКА 60.0 ВЕРСИЯ - комплект форм для изготовления опоки диаметром 60 мм,5 000 ₽,на складе
Anya ,Негатоскоп 2 для стоматологических установок Anya и Mercury,9 160 ₽,на складе
Daiei Dental Sandex V Angel  ,"пескоструйный аппарат, однокамерный",Свяжитесь с нами насчёт цены,на складе
Arkodor ARL04N  ,стол лабораторный со стеллажом двухтумбовый (тумба с распашной мета...,59 070 ₽,на складе
Arkodor AR22  ,"металлическая тумба с распашной застекленной дверью, стеклянной полко...",23 800 ₽,на складе
BienAir ,Роторная группа к турбинному наконечнику Prestige (нужна замена кнопки),Свяжитесь с нами насчёт цены,на складе
NSK Nakanishi S21L  ,насадка для обработки корневых каналов (с наклоном влево) для па...,5 620 ₽,на складе
Dong IL Technology 3 ,ирригационные линии для пьезо-аппарата Sonic Surgeon 300,640 ₽,на складе
DTE PD4T  ,"насадка для скалеров Woodpecker, пародонтологическая (подходит к DTE, Sate...",2 200 ₽,Под заказ
NSK Nakanishi VS3  ,насадки V-Tip для препарирования дентина (3шт.),4 800 ₽,на складе
Asa Dental ,"Элеватор прямой со скошенным концом, 4,5 мм 0218-4",1 880 ₽,на складе
BienAir 1700258001 ,с комплектующими (полный комплект для 1 микромотора MX),137 390 ₽,на складе
CMS Dental Core Remover for Soft Core Oven Kit  ,"инструмент для удаления сердечника, ...",2 030 ₽,на складе
Medenta Instruments ,"Завеса резиновая ""Раббер дам"" Медента черная/средняя",630 ₽,в наличии
Ivoclar Vivadent ,"Блоки IPS e.max CAD для CEREC и inLab LT A3, C14/5, по 1х5",8 990 ₽,Под заказ
HLW ,"Пинцет шовный прямой, 150 мм",1 100 ₽,Под заказ
Durr Dental USBRepeater ,"для увеличения длины кабеля USD до 4,8 м",15 890 ₽,на складе
SAM MPS 155  ,"монтажные пластины MPS, желтые, 100 шт.",22 530 ₽,на складе
Arkodor AR81C  ,"шкаф с двумя распашными дверями - застекленной и металлической, двум...",45 050 ₽,на складе
NSK Nakanishi SG16B  ,хирургическая насадка для имплантации,9 160 ₽,на складе
Asa Dental ,"Ножницы для десны N2 изогнутые, 16,5 см",1 950 ₽,на складе
M.P.F. Brush Optimum Kolinsky Contour  ,контурная кисть,Свяжитесь с нами насчёт цены,на складе
HLW ,"Скейлер пародонтологический, форма T2/3, ручка DELUXE, диаметр 10 мм",2 100 ₽,Под заказ
W&H EA2EP  ,блок управления мотором EA-40LT,Свяжитесь с нами насчёт цены,на складе
DeguDent Duceram Plus  ,"глазурь DP, 75 гр",Свяжитесь с нами насчёт цены,Под заказ
Eve ,Полир Diapol H2D,500 ₽,Под заказ
"Mr.Currete Tech TTI5,0  ","мукотом, диаметр 5,0 мм спец. тип 32,5 мм",Свяжитесь с нами насчёт цены,на складе
Aesculap BC629R  ,"ножницы сосудистые, по DE'BAKEY, изогнутые, длина 175 мм",8 400 ₽,Под заказ
Arkodor AR05Y  ,металлическая угловая тумба с распашной металлической дверью и одной...,27 200 ₽,на складе
,Камера,51 600 ₽,на складе
Nopa Instruments ,"Зонд для бужирования, диаметр 2 мм, 13 см",320 ₽,Под заказ
Steelco ,С80/C84 - корзина с подставками под 4 наконечника,27 820 ₽,на складе
Steelco C705  ,"нижняя корзина с моечным коромыслом, со встроенными подставками под 10...",51 920 ₽,на складе
Nopa Instruments ,Щипцы извлекающие для моляров нижней челюсти №22,5 400 ₽,Под заказ
DeguDent Duceram Plus  ,набор десневых масс,Свяжитесь с нами насчёт цены,Под заказ
NSK Nakanishi EX ARER4(S)  ,угловой наконечник с наружной системой подачи охлаждения...,Свяжитесь с нами насчёт цены,на складе
HLW ,Ложка слепочная OK,800 ₽,Под заказ
Legrin ,Дополнительный активный электрод E12,3 150 ₽,на складе
Asa Dental ,"Элеватор для корней с ручкой из нержавеющей стали, 3 мм",2 250 ₽,на складе
Asa Dental ,"Ложка слепочная нижняя большая (L) с перфораций без бортика, детская, из а...",460 ₽,на складе
Arkodor AR77  ,"шкаф с распашной металлической дверью, двумя металлическими полками и...",61 200 ₽,на складе
HLW ,"Штопфер двусторонний, шарик-шарик, 1,3-0,9 мм, нитрид титановое покрытие",2 500 ₽,Под заказ
Asa Dental ,"Ложка слепочная верхняя средняя (M) без перфорации с бортиками, 2807S-U4",780 ₽,на складе
BienAir ,Микромотор воздушный Aquilon 830 (с 3-канальным переходником Unifix),Свяжитесь с нами насчёт цены,на складе
Daiei Dental Cycle Junior II. Angel  ,"пескоструйный аппарат, однокамерный",Свяжитесь с нами насчёт цены,на складе
Asa Dental ,Зонд N17 односторонний изогнутый в двух местах Leonardo с полой легкой ручкой,290 ₽,на складе
Nopa Instruments ,"Микроножницы NOYES изогнутые, 12 см",8 990 ₽,Под заказ
W&H SYNEA TA97 CM  ,"турбинный наконечник с миниголовкой, керамические подшипники",Свяжитесь с нами насчёт цены,на складе
HLW ,"Скейлер пародонтологический, форма T2/3, ручка CLASSIC, диаметр 10 мм",2 100 ₽,Под заказ
Arkodor AR56C  ,металлическая тумба навесная с двумя распашными застекленными дверям...,28 900 ₽,на складе
HLW ,"Пинцет анатомический Gerald, 180 мм",1 500 ₽,Под заказ
Asa Dental ,Штопфер N2 двусторонний заостренный,1 120 ₽,на складе
,"Армед 7F-1L - концентратор кислорода, 1 л/мин",19 690 ₽,на складе
Asa Dental ,"Пинцет изогнутый, тонкий без фиксатора, 11,5 см",1 670 ₽,на складе
Mercury JWX01  ,"стоматологическая помпа для одной стоматологической установки, 550 Вт",50 000 ₽,на складе
Asa Dental ,Ложка слепочная нижняя (S) без перфорации без бортиков,450 ₽,на складе
,"Экрадент 02-21 - штопфер амальгамный 1,8/2,4",2 250 ₽,на складе
HLW ,Щипцы для удаления зубов верхнего и нижнего корневого фрагмента,4 600 ₽,Под заказ
Steelco ,С640/C85 - корзина с подставками под 8 наконечников,42 550 ₽,на складе
HLW ,"Элеватор Pott, левый, 2,5 мм",1 900 ₽,Под заказ
Dexcowin ,Пульт ДУ для DX-3000,Свяжитесь с нами насчёт цены,на складе
,"Амико Фартук стоматологический для ортопантомографа Pb=0,35 взрослый (резина)",13 170 ₽,на складе
,Эурмед Т-001 - турбинный наконечник без фиброоптики с резьбовым соединением (для 4-ка...,7 240 ₽,на складе
Arkodor AR54C  ,металлическая тумба навесная с двумя распашными застекленными дверям...,24 650 ₽,на складе
HLW ,Ложка слепочная перфорированная UK-4 S,800 ₽,Под заказ
Renfert ,Инструмент ERGO WAX для нанесения воска с наконечником №4,2 300 ₽,Под заказ
Nopa Instruments ,"Микроножницы NOYES прямые, 12 см",8 990 ₽,Под заказ
LM PE41AF  ,"насадка для скалеров LM, для скалинга",5 810 ₽,на складе
HLW ,"Экскаватор круглый, 2,0 мм, 28-13*",700 ₽,Под заказ
Asa Dental ,Щипцы N29 для верхних корней с зубчиками,4 520 ₽,на складе
HLW ,Щипцы для удаления зубов нижние моляры,4 600 ₽,Под заказ
NSK Nakanishi P25LS  ,насадка для пародонтологии с наклоном влево,5 840 ₽,на складе
BienAir 1700260001 ,с комплектующими (полный комплект для 1 микромотора MX),120 300 ₽,на складе
