Название,Группа товара,Цена,Наличие
Satelec Piezotome Cube  ,пьезохирургический аппарат,345 000 ₽,на складе
Dentalfilm ErgonomX  ,"самопроявляющаяся рентгеновская пленка, 50 шт.",3 580 ₽,в наличии
Mercury 2000  ,воздушный микромотор с внутренним охлаждением,7 500 ₽,на складе
DuraMedical DURADAM  ,"латексные листы для коффердама, толщина 0,22 мм (heavy), цвет ч...",600 ₽,в наличии
Durr Dental Vector Paro Pro  ,пародонтологический центр с ультразвуковым скалером,259 900 ₽,на складе
Woson Drink  ,дистиллятор,15 000 ₽,на складе
Gravitonus Tiny Duo Back  ,"раздвоенный стул-седло со спинкой, эко-кожа шоколад, газ-л...",23 900 ₽,на складе
Dentsply Sirona T2 Boost S  ,"турбинный наконечник повышенной мощности, с фиброоптикой...",32 990 ₽,на складе
Gravitonus Tiny Solo Back  ,"эргономичный стул-седло врача-стоматолога, светло-серая э...",21 100 ₽,на складе
Geosoft EndoEst3D  ,"эндо-комплекс (апекслокатор, ЭОД, дентин-метр)",34 000 ₽,на складе
Cattani TurboSmart B  ,стоматологический аспиратор для влажной аспирации для 4-5 сто...,249 050 ₽,на складе
Diplomat Dental Consul DC170  ,стоматологическая установка навесного типа с верхней п...,691 250 ₽,на складе
NSK Nakanishi ENDOMATE DT  ,"портативный эндодонтический микромотор с автореверсом, с...",55 810 ₽,на складе
,Кронт ОРУБн-3-5 - облучатель-рециркулятор воздуха ультрафиолетовый бактерицидный наст...,17 930 ₽,на складе
,Сонис Набор инструментов для зубного техника,1 500 ₽,в наличии
Zeiss EyeMag Pro S  ,"бинокулярные лупы на шлеме, рабочее расстояние 300 мм, увеличени...",269 300 ₽,на складе
DGShape ROLAND DWX52D  ,стоматологический фрезерный станок с программным обеспечение...,1 600 000 ₽,на складе
Anya AYA 1000  ,"стоматологическая установка с нижней подачей инструментов, бирюзовый",228 750 ₽,на складе
Ivoclar Vivadent Programat EP 3010  ,печь для обжига и прессования,849 400 ₽,на складе
,ДентЛайт Эко - бестеневой LED светильник для клиники,23 000 ₽,на складе
Renfert MT3  ,"триммер для мокрой обработки, с диском Klettfix",Свяжитесь с нами насчёт цены,на складе
Zhermack Occlufast Rock (2,х50ml) - А-Силикон для регистрации прикуса,1 690 ₽,на складе
NSK Nakanishi TiMax XSG20L  ,"наконечник угловой хирургический, внешнее и внутреннее...",69 900 ₽,на складе
Dentsply Sirona T4 Racer Midwest  ,турбинный наконечник со стандартной головкой без с...,9 990 ₽,на складе
Ekom DK50 2X2V/110  ,"безмасляный компрессор для 4-х стоматологических установок, выхо...",205 980 ₽,на складе
,Аверон СВЗ 1.0 АРТ - вакуумный смеситель,74 900 ₽,на складе
Gravitonus Tiny Solo  ,"эргономичный стул-седло врача-стоматолога, эко-кожа / светло-с...",16 200 ₽,на складе
NSK Nakanishi TiMax X700L  ,турбинный наконечник с ортопедической головкой и оптикой,39 600 ₽,на складе
Zhermack Hydrogum 5 (453 ,гр) - беспыльный альгинат с быстрым схватыванием и высокой с...,550 ₽,на складе
Romax Z500  ,"дистиллятор, 4 л (1 л/час)",10 800 ₽,на складе
KaVo SMARTtorque S619 L  ,"турбинный наконечник со стандартным размером головки, с под...",28 850 ₽,на складе
KaVo QUATTROcare Plus 2124,"А Kit - комплект, прибор для чистки, смазки и ухода за нако...",86 560 ₽,на складе
Dentsply Sirona INTEGO  ,стоматологическая установка с верхней/нижней подачей инструм...,1 153 450 ₽,на складе
Florida Probe  ,компьютерная система диагностики пародонтита,480 080 ₽,на складе
Omec GP 92.3  ,пароструйный аппарат для обезжиривания каркасов зубных протезов паром ...,58 280 ₽,на складе
Saeyang Marathon Multi 600 DUO ,с наконечником BM50M/BHS1 и педалью FS60N плавной регу...,66 640 ₽,на складе
Amazing White Professional 24%  ,классический набор для лампового отбеливания,2 300 ₽,на складе
,КМИЗ НЗК-02 - скалер стоматологический,3 940 ₽,в наличии
Coxo CX207FTP  ,"турбинный наконечник с генератором света, с ортопедической головкой...",10 990 ₽,в наличии
Lambda Doctor Smile D5  ,диодный стоматологический лазер с функцией лазерного отбелив...,349 000 ₽,на складе
Codyson CD4800  ,"ультразвуковая мойка, 1,4 л",6 500 ₽,в наличии
Ivoclar Vivadent IPS e.max Press LT D3  ,"заготовки, низкая прозрачность, 5 шт.",6 300 ₽,на складе
Asa Dental 5032/1  ,легкий анатомический артикулятор из литого алюминия в комплекте с...,21 230 ₽,на складе
IcanClave STE18  ,"автоматический автоклав класса B с вакуумной сушкой, 18 л",171 600 ₽,на складе
Gamma Dental Reference SL  ,полностью регулируемый артикулятор с горизонтальными напр...,120 710 ₽,Под заказ
Melag MELAseal RH 100+ Comfort  ,запечатывающее устройство для стерилизационных рулон...,32 980 ₽,на складе
W&H Alegra WE56  ,"угловой наконечник, 1:1",12 560 ₽,на складе
Darta 1950  ,"стул стоматолога с абдоминальным упором, C80 (красный)",35 400 ₽,на складе
MyRay ZenX HD  ,"цифровой радиовизиограф нового поколения, HD CMOS, позиционеры в ком...",129 900 ₽,на складе
Durr Dental Vector Fluid Polish  ,полировочная суспензия 200 мл,4 900 ₽,в наличии
NSK Nakanishi PTLCLLED  ,быстросъемный переходник с оптикой,15 720 ₽,на складе
Anya AYA 3600  ,стоматологическая установка с нижней подачей инструментов,355 950 ₽,на складе
Woodpecker P1  ,"насадка для скалеров Woodpecker, для снятия зубного камня в неглубоки...",500 ₽,на складе
DigiMed PROX  ,высокочастотный портативный дентальный рентген,150 000 ₽,на складе
NSK Nakanishi NLX nano S230  ,портативная система с электрическим бесщеточным микромо...,137 760 ₽,в наличии
Fedesa Coral Air  ,ультракомпактная стоматологическая установка с нижней/верхней пода...,492 890 ₽,на складе
Ajax AJ 18  ,"стоматологическая установка с нижней подачей инструментов, экокожа/корич...",1 252 080 ₽,на складе
NSK Nakanishi SMax M65  ,"прямой наконечник без оптики, 1:1",18 930 ₽,на складе
Durr Dental Tornado 1  ,"безмасляный компрессор для 1 установки, с ресивером 20 л, 67 ...",70 830 ₽,на складе
Melag Vacuklav 23 B+  ,"автоклав с камерой на 22 л, автономный, B-Class, глубина камер...",326 600 ₽,на складе
Diplomat Dental Consul DC180  ,стоматологическая установка навесного типа с нижней по...,634 000 ₽,на складе
KaVo DIAGNOcam  ,прибор для диагностики кариозных поражений,112 850 ₽,на складе
Codyson CDS300  ,"ультразвуковая мойка, 0,8 л",4 850 ₽,в наличии
Cattani TurboSmart A  ,стоматологический аспиратор для влажной аспирации для 2-3 сто...,231 000 ₽,на складе
Medstore ,Подставка для бактерицидного рециркулятора Medstore-2 Plus,2 500 ₽,на складе
Asa Dental ,"Шприц карпульный с 2-мя кольцами, ручная аспирация, хромированный",1 740 ₽,на складе
Kuraray Noritake CZR PRESS LC2  ,керамическая заготовка 2g x 5,7 560 ₽,на складе
Melag MELAdest 65  ,"аквадистиллятор, 4 л",25 670 ₽,на складе
,Кронт ОРУБп-3-3 - облучатель-рециркулятор воздуха ультрафиолетовый бактерицидный пере...,20 370 ₽,на складе
,Ферропласт КБ-03-Я-ФП - ультрафиолетовая бактерицидная камера для хранения стерильног...,15 180 ₽,на складе
Geosoft EndoEst5F (A,Э-01) - аппарат электромеханический для электроодонтодиагностики...,37 000 ₽,на складе
Codyson CD3800B  ,"ультразвуковая мойка, 0,6 л",3 620 ₽,на складе
MyRay RXDC  ,высокочастотный настенный рентген аппарат,136 500 ₽,на складе
Cattani 30160  ,"безмасляный компрессор для 2-х стоматологических установок, с осушит...",141 250 ₽,в наличии
"DeguDent Duceram Kiss A3,5  D ",дентины 20 г,2 880 ₽,Под заказ
Mocom Stillo  ,аквадистиллятор 4 л,18 500 ₽,на складе
Dentium DASK  ,большой набор для синус-лифтинга,98 670 ₽,на складе
Durr Dental HygoJet  ,аппарат для автоматической дезинфекции слепков,159 230 ₽,на складе
HLW ,"Люксатор прямой, 3 мм, 13-2LX*",2 990 ₽,Под заказ
Anya AYA 3600  ,стоматологическая установка с верхней подачей инструментов,368 320 ₽,на складе
Coxo ,"Угловой наконечник CX235-1B с внутренней подачей охлаждения и кнопочным зажимом,...",7 500 ₽,в наличии
,КМИЗ НУПМ-40 - наконечник угловой микромоторный с поворотной защелкой,3 200 ₽,в наличии
Gendex ,Комплект: радиовизиограф GXS-700 и настенный дентальный рентгеновский аппарат ...,420 000 ₽,на складе
KaVo MULTIflex 460 E  ,"быстросъемный переходник без подсветки, без регулятора подачи ...",7 160 ₽,на складе
KaVo QUATTROcare PLUS 2124,"А - аппарат для чистки, смазки и ухода за четырьмя наконечн...",88 900 ₽,на складе
Saeyang Marathon N2 ,с наконечником H35LSP и педалью SFP-27 вкл./выкл,16 090 ₽,на складе
Kuraray Noritake EX3 PRESS INGOT LNB4  ,заготовка для прессования 2г x 5,6 000 ₽,Под заказ
JustVision by Semorr JVM E Complex  ,мобильный операционный микроскоп с плавным измен...,825 310 ₽,на складе
Ivoclar Vivadent Programat P510  ,печь для обжига керамических масс,569 500 ₽,на складе
,КМИЗ НПМ-40-02 - наконечник прямой микромоторный с поворотной защелкой,2 670 ₽,в наличии
Durr Dental Tornado 2  ,"безмасляный компрессор для 2 установок, с ресивером 20 л, 125...",121 200 ₽,на складе
Melag Euroklav 23 VS+  ,"автоклав с камерой на 22 л, с однократным предварительным вак...",302 400 ₽,на складе
